page_id	text	label	Pattern Category
1012	FLASH SALE | LIMITED TIME ONLY Shop Now	1	Urgency
158	Pillowcases & Shams	0	Not Dark Pattern
108	Write a review	0	Not Dark Pattern
1425	To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.	0	Not Dark Pattern
1658	 newsletter signup (privacy policy) 	0	Not Dark Pattern
975	In demand	1	Scarcity
1469	We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.	0	Not Dark Pattern
1570	Hurry! Only 2 left in stock	1	Scarcity
1617	In Stock only 3 left	1	Scarcity
108	International Shipping Policy	0	Not Dark Pattern
1333	Clothes, Shoes & Accessories	0	Not Dark Pattern
1199	Hurry! Only 2 left	1	Scarcity
822	Primary Arms Scopes	0	Not Dark Pattern
1264	ONLY 8 LEFT	1	Scarcity
1609	MoTrail	0	Not Dark Pattern
776	LCD Ribbon Cables	0	Not Dark Pattern
1779	READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?	0	Not Dark Pattern
1739	OUR BEST SELLING GOGGLE	1	Misdirection
98	1,142 people have added to cart recently	1	Social Proof
1438	Limited Availability	1	Scarcity
449	No thanks. I don't like free things...	1	Misdirection
1667	 read you will want to read -- Five Book Group Favourites * Sunday Post *	0	Not Dark Pattern
212	 Supply & Demand 	0	Not Dark Pattern
284	Michael in Pontiac, United States purchased a  	1	Social Proof
1381	Bathroom Lighting	0	Not Dark Pattern
822	 Shop Optics > 	0	Not Dark Pattern
4	9 people are viewing this.	1	Social Proof
1082	894 Claimed! Hurry, only a few left!	1	Scarcity
255	77 PEOPLE LIKE THIS	1	Social Proof
833	Girls Trousers	0	Not Dark Pattern
1009	Specs	0	Not Dark Pattern
1073	4 items left	1	Scarcity
495	HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5	1	Urgency
718	Offer ends in	1	Urgency
25	Another babe in Alexandria, United States just ordered Flat Tummy Tea	1	Social Proof
276	Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago	1	Social Proof
819	More Info	0	Not Dark Pattern
822	Daystate FAC Air Rifles	0	Not Dark Pattern
4	Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.	0	Not Dark Pattern
126	24 sold in last 24 hours.	1	Social Proof
1428	 #CERTIFIED_FACE_MASKS 	0	Not Dark Pattern
1468	Shop the Look	0	Not Dark Pattern
638	Kicks Remotes	0	Not Dark Pattern
1414	Only 7 left in stock.	1	Scarcity
414	Whey Protein Isolate	0	Not Dark Pattern
1736	 Cases for Magsafe Refine by Product Type: Cases for Magsafe 	0	Not Dark Pattern
414	Product Info	0	Not Dark Pattern
35	Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF	1	Social Proof
395	 Sign In With Google 	0	Not Dark Pattern
203	Shop All	0	Not Dark Pattern
1119	 You can change your preference here Shop for Select an age 	0	Not Dark Pattern
1656	1 in Stock	1	Scarcity
1590	 shop all 	0	Not Dark Pattern
1405	Low Stock Alert: Only 8 left in inventory	1	Scarcity
1536	Womens Platform Shoes	0	Not Dark Pattern
767	Screen print graphics	0	Not Dark Pattern
149	IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago	1	Social Proof
395	Thin and tough - protects from minor scratches	0	Not Dark Pattern
361	Kimberly R.	0	Not Dark Pattern
432	I don't feel lucky	1	Misdirection
1673	Only 3 items left	1	Scarcity
680	 Butterscotch Cakes 	0	Not Dark Pattern
146	Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base	1	Social Proof
662	Awntech New Yorker Window/Entry Slope Awnin ...	0	Not Dark Pattern
214	45 ADDED TO BAG IN THE PAST 24 HOURS	1	Social Proof
1147	87% offers claimed. Hurry up!	1	Scarcity
1031	HURRY! £32.99 UK DELIVERY ENDS SOON	1	Urgency
1289	ONLY 3 LEFT	1	Scarcity
1386	8 items left	1	Scarcity
137	19 people viewed this product per day	1	Social Proof
1630	 Irwin 	0	Not Dark Pattern
1102	96 ITEM(S) LEFT IN STOCK!	1	Scarcity
117	__________	0	Not Dark Pattern
1138	Only 1 left In Stock	1	Scarcity
1536	Availability: Only 4 Left!	1	Scarcity
680	 Personalised Gifts 	0	Not Dark Pattern
1405	A customer service specialist will contact you soon.	0	Not Dark Pattern
521	Your order is reserved for 09:54 minutes!	1	Urgency
1630	 Screws & Other Fixings 	0	Not Dark Pattern
66	Use the domain shortly after payment	0	Not Dark Pattern
1459	Office Supplies & Decor	0	Not Dark Pattern
1531	This size has only 1 left in stock	1	Scarcity
1468	Arrow	0	Not Dark Pattern
1044	Returns an Item	0	Not Dark Pattern
157	HOT PRODUCT Over 250 people are looking at this item.	1	Social Proof
478	I don't want to save money	1	Misdirection
1135	HURRY! ONLY 2 LEFT IN STOCK!	1	Scarcity
230	Hair type: Curly	0	Not Dark Pattern
745	DEAL ENDS IN 40:55:13	1	Urgency
216	Someone bought: HYPE BLUE LARGE SPLAT KIDS LEGGINGS	1	Social Proof
1171	Only 1 Left	1	Scarcity
198	Search for similiar products	0	Not Dark Pattern
1250	Only 33 left	1	Scarcity
991	FAMILY SHADE PACK | PICK YOUR PACK	0	Not Dark Pattern
638	Promaster City Remotes	0	Not Dark Pattern
1217	Hurry, only a few left!	1	Scarcity
1509	 V&A Collection People Tree’s collaboration with the Victoria and Albert Museum offers a stylish and contemporary capsule collection which celebrates the beauty and variety of pattern which the London museum is renowned for. 	0	Not Dark Pattern
1115	Only 11 left!	1	Scarcity
1404	Hurry! Only 6 left in stock	1	Scarcity
213	40 users are currently active on our website just now.	1	Social Proof
230	Hair Tools	0	Not Dark Pattern
1429	Email Address*	0	Not Dark Pattern
1779	 Send Us Your Jersey 	0	Not Dark Pattern
1468	 View All Home Office Furniture 	0	Not Dark Pattern
1425	Search Result:Search Results: 	0	Not Dark Pattern
1142	90% offers claimed. Hurry up!	1	Scarcity
1536	Tube Tops	0	Not Dark Pattern
21	"Mitchell H. Purchased a Dimplex IgniteXL 100"" Linear Built in Electric Fireplace"	1	Social Proof
230	Hair type: Wavy	0	Not Dark Pattern
215	7 people looked at this product in the last 24 hours.	1	Social Proof
527	Glow Gear	0	Not Dark Pattern
1292	18 In Stock	1	Scarcity
171	Someone in New Lynn bought a Kogan A1 Earphones with Inline Control for IOS/Android 1 hour ago.	1	Social Proof
668	00:15:07:45	1	Urgency
315	No, I'll rather pay full price.	1	Misdirection
1464	Only 9 Left.	1	Scarcity
149	Deals of the Week	0	Not Dark Pattern
1667	 ... It covers love and loss, friendship and pain through 	0	Not Dark Pattern
59	1 person is viewing this	1	Social Proof
510	Your order is reserved for 09:14 minutes! 	1	Urgency
680	 Gift TypeFlowers, Cakes, Plants, etc. 	0	Not Dark Pattern
984	 CAMILLA World 	0	Not Dark Pattern
714	Sweep Train Simple A Line Tulle Wedding Dress with Appliques and Beading	0	Not Dark Pattern
103	Fun Treat Tossing	0	Not Dark Pattern
1024	Limited time remaining!	1	Urgency
384	No thanks, I'll pay full price	1	Misdirection
1434	Your shopping bag is empty...	0	Not Dark Pattern
209	Trousers & Chinos	0	Not Dark Pattern
1447	Only 7 left in stock!	1	Scarcity
1272	Only 5 item(s) left.	1	Scarcity
664	 Chargers 	0	Not Dark Pattern
1652	(only 5 left)	1	Scarcity
113	 Eyelashes 	0	Not Dark Pattern
66	Pick the price that matches your budget. 	0	Not Dark Pattern
212	Bringing the latest footwear, ‘fits and accessories from the biggest brands, the JD app makes coppin’ the hottest looks even easier!	0	Not Dark Pattern
1468	Child Safety	0	Not Dark Pattern
117	 Cosmic Rainbow 	0	Not Dark Pattern
1488	NRA Annual Meetings & Exhibits	0	Not Dark Pattern
1673	ShoesBootsCasual ShoesFormal ShoesSandals & Flip-flopsShoe Care & AccessoriesSlippersSneakers & CanvasSports Shoes	0	Not Dark Pattern
1317	 Moonstone Beads 	0	Not Dark Pattern
400	I'll Shop Without A Discount	1	Misdirection
1477	Only 11 Left In Stock	1	Scarcity
1446	 Netherlands Antilles USD	0	Not Dark Pattern
414	Was this product description useful?YesNo	0	Not Dark Pattern
765	Returns Information	0	Not Dark Pattern
812	TiesToys & GamesTravelWatches	0	Not Dark Pattern
130	Bought by 39 people in last few hours! HOT SELLER!	1	Social Proof
1381	Books and Stationery	0	Not Dark Pattern
494	Your order is reserved for 08:48 minutes!	1	Urgency
556	11 11 Hours: 00 22 Minutes: 3223 3223 Seconds	1	Urgency
1550	 Bioactive Custodians 	0	Not Dark Pattern
1330	 Most-Hearted Styles Shop Now 	0	Not Dark Pattern
1723	 Use a clean vase and clean water.	0	Not Dark Pattern
1359	 well, this is awkward. 	0	Not Dark Pattern
